Date,Open,High,Low,Close,Adj Close,Volume
2021-01-05,59.093719482421875,60.247169494628906,58.012359619140625,58.166839599609375,57.90180587768555,1333280
2021-01-06,59.08341979980469,61.08135986328125,58.29042053222656,60.9577751159668,60.68002700805664,1705562
2021-01-07,61.35942459106445,61.55509948730469,59.83522033691406,61.277034759521484,60.99782943725586,1947438
2021-01-08,61.25643539428711,62.512874603271484,60.659114837646484,62.03913497924805,61.7564582824707,1668372
2021-01-11,60.679710388183594,62.08032989501953,60.48403549194336,61.524200439453125,61.24386978149414,1197923
2021-01-12,61.750770568847656,62.7806396484375,61.2049446105957,62.42018508911133,62.135772705078125,827001
2021-01-13,62.42018508911133,64.21215057373047,62.42018508911133,63.975284576416016,63.68378829956055,1119175
2021-01-14,64.6858901977539,65.76725006103516,63.594234466552734,63.93408966064453,63.64278030395508,1627979
2021-01-15,63.614830017089844,64.30484008789062,62.69824981689453,64.0164794921875,63.72479248046875,1528645
2021-01-19,63.96498489379883,64.54170989990234,62.80123519897461,62.93511962890625,62.64836120605469,1204331
2021-01-20,62.832130432128906,64.80947875976562,61.87435531616211,63.93408966064453,63.64278030395508,1622929
2021-01-21,63.4900016784668,63.68000030517578,61.939998626708984,63.02000045776367,62.73285675048828,1140700
2021-01-22,62.36000061035156,63.099998474121094,61.93000030517578,62.849998474121094,62.563629150390625,1055300
2021-01-25,62.290000915527344,64.62000274658203,61.13999938964844,63.22999954223633,62.941898345947266,1678600
2021-01-26,63.709999084472656,65.94000244140625,63.709999084472656,65.43000030517578,65.13187408447266,1089600
2021-01-27,65.06999969482422,67.97000122070312,65.06999969482422,66.5,66.1969985961914,2634400
2021-01-28,66.44999694824219,71.48999786376953,66.30999755859375,67.44999694824219,67.44999694824219,2766400
2021-01-29,66.76000213623047,69.47000122070312,66.27999877929688,67.4800033569336,67.4800033569336,1528100
2021-02-01,68.0,68.11000061035156,64.5,65.91000366210938,65.91000366210938,1336000
2021-02-02,66.05000305175781,66.06999969482422,63.33000183105469,64.12000274658203,64.12000274658203,1485900
2021-02-03,63.720001220703125,64.75,62.70000076293945,63.66999816894531,63.66999816894531,1268000
2021-02-04,63.849998474121094,65.12999725341797,62.900001525878906,63.099998474121094,63.099998474121094,1315800
2021-02-05,63.7599983215332,64.05000305175781,62.4900016784668,63.75,63.75,796200
2021-02-08,64.0,64.91999816894531,63.029998779296875,64.45999908447266,64.45999908447266,776300
2021-02-09,64.83000183105469,65.1500015258789,63.75,64.6500015258789,64.6500015258789,776800
2021-02-10,64.75,66.3499984741211,64.30000305175781,65.62000274658203,65.62000274658203,993200
2021-02-11,65.68000030517578,66.06999969482422,64.05999755859375,64.63999938964844,64.63999938964844,1061200
2021-02-12,64.23999786376953,65.62000274658203,64.12000274658203,64.98999786376953,64.98999786376953,1129600
2021-02-16,65.6500015258789,65.6500015258789,62.59000015258789,62.59000015258789,62.59000015258789,1679000
2021-02-17,62.5,62.900001525878906,61.11000061035156,61.52000045776367,61.52000045776367,1820900
2021-02-18,61.15999984741211,62.040000915527344,59.9900016784668,60.060001373291016,60.060001373291016,1511500
2021-02-19,60.20000076293945,62.2400016784668,59.88999938964844,62.15999984741211,62.15999984741211,1778000
2021-02-22,62.439998626708984,66.77999877929688,62.189998626708984,66.69999694824219,66.69999694824219,1718800
2021-02-23,66.98999786376953,68.9800033569336,65.94999694824219,68.44999694824219,68.44999694824219,1898000
2021-02-24,68.86000061035156,71.41000366210938,67.63999938964844,71.26000213623047,71.26000213623047,1887200
